scanned_at,title,url,sku,category,availability,price,price_regular,seller,special_offers
2022-01-05T02:41:01.223159,High Peak Nevada 3.0 (Nimbus Grey),https://allo.ua/ua/palatki/high-peak-nevada-3-0-nimbus-grey.html,169208-0094,"Інтернет магазин,Намети,Намети High Peak",False,,,1Sale,
2022-01-05T02:41:08.178015,Google Pixel 2 128GB Just Black,https://allo.ua/ua/products/mobile/google-pixel-2-128gb-just-black_4.html,TE190104Y02-0087,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Google",True,5555,6111,Trade Electronics,
2022-01-05T02:41:18.450469,LG G8X ThinQ 6/128Gb Aurora Black dual sim,https://allo.ua/ua/products/mobile/lg-g8x-thinq-6-128gb-aurora-black-dual-sim.html,TE200127SD05-0087,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони LG",True,6395,,Trade Electronics,
2022-01-05T02:41:25.315633,Samsung Galaxy S9 SM-G960U  64GB Black 1sim,https://allo.ua/ua/products/mobile/samsung-galaxy-s9-sm-g960u-64gb-black-1sim_2.html,TE201015EK12-0087,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Samsung",True,8335,9169,Trade Electronics,
2022-01-05T02:41:31.939594,Honor 8x Max 4/128GB Black,https://allo.ua/ua/products/mobile/honor-8x-max-4-128gb-black.html,TE20190820S29-0087,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Honor",True,6375,,Trade Electronics,
2022-01-05T02:41:38.558430,LG VELVET 5G (LM-900N) 8/128GB Green,https://allo.ua/ua/products/mobile/lg-velvet-5g-lm-900n-8-128gb-green.html,TE210727EK06-0087,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони LG",True,9799,,Trade Electronics,
2022-01-05T02:41:45.512647,Blackview BV9600E black,https://allo.ua/ua/products/mobile/blackview-bv9600e-4-128gb-black_2.html,TE200630EK05-0087,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Blackview",True,6777,,Trade Electronics,
2022-01-05T02:41:52.163811,Samsung Galaxy S20+ 5G SM-G986U Black,https://allo.ua/ua/products/mobile/samsung-galaxy-s20-5g-sm-g986u-black-snapdragon-1-sim_1.html,TE210519EK09-0087,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Samsung",True,18399,20239,Trade Electronics,
2022-01-05T02:41:59.048516,Doogee N20 Pro 6/128Gb Fantasy Forest,https://allo.ua/ua/products/mobile/doogee-n20-pro-6-128gb-green_1.html,TE200917EK03-0087,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Doogee",True,3799,,Trade Electronics,
2022-01-05T02:42:05.706181,Cubot KingKong CS Black,https://allo.ua/ua/products/mobile/cubot-kingkong-cs-black_3.html,TE200624KP19-0087,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Cubot",True,2599,,Trade Electronics,
2022-01-05T02:42:12.486869,Sony Xperia 1 III 12/512GB Gray,https://allo.ua/ua/products/mobile/sony-xperia-1-iii-12-512gb-gray_3.html,TE211118EK123-0087,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Sony",True,37889,,Trade Electronics,
2022-01-05T02:42:19.478592,Blackview A80 Pro 4/64Gb Black,https://allo.ua/ua/products/mobile/blackview-a80-pro-4-64gb-black_1-1494201.html,TE200116SD01-0087,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Blackview",True,3599,,Trade Electronics,
2022-01-05T02:42:26.278783,Cubot X20 Pro Black,https://allo.ua/ua/products/mobile/cubot-x20-pro-black.html,TE191216SD01-0087,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Cubot",True,4499,,Trade Electronics,
2022-01-05T02:42:36.488570,OnePlus 8T 8/128Gb Grey (Lunar Silver),https://allo.ua/ua/products/mobile/oneplus-8t-8-128gb-lunar-silver_3.html,TE210218EK07-0087,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони OnePlus",True,13575,,Trade Electronics,
2022-01-05T02:42:43.183242,Umidigi A11 4/128Gb Blue,https://allo.ua/ua/products/mobile/umidigi-a11-4-128gb-blue.html,TE210624EK05-0087,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Umidigi",True,3987,,Trade Electronics,
2022-01-05T02:42:50.072948,Google Pixel 2 128GB Clearly White,https://allo.ua/ua/products/mobile/google-pixel-2-128gb-clearly-white_2.html,TE2018081001-0087,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Google",True,5555,6111,Trade Electronics,
2022-01-05T02:42:56.786123,LG V50s 256GB Black (1 SIM),https://allo.ua/ua/products/mobile/lg-v50s-256gb-black-1-sim.html,TE201015EK68-0087,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони LG",True,7255,7981,Trade Electronics,
2022-01-05T02:43:03.502299,LG G7 ThinQ G710ULM 4/64GB Raspberry Rose,https://allo.ua/ua/products/mobile/lg-g7-thinq-g710ulm-4-64gb-raspberry-rose.html,TE190613A1-0087,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони LG",True,4899,,Trade Electronics,
2022-01-05T02:43:10.090952,UMIDIGI BISON Pro 4/128Gb Black (Global),https://allo.ua/ua/products/mobile/umidigi-bison-pro-4-128gb-black-global.html,TE210924ER04-0087,"Інтернет магазин,Смартфони і мобільні телефони,Смартфони і мобільні телефони Umidigi",True,4659,,Trade Electronics,
